Using linkage method for clustering
Using RMSD cutoff 0.1 nm
The RMSD ranges from 0.0789407 to 0.546372 nm
Average RMSD is 0.240584
Number of structures for matrix 32
Energy of the matrix is 0.829834.

Found 29 clusters

Writing middle structure for each cluster to s_6.5_7.6_z_0.1_0.5_e30_clustered.pdb

cl. | #st  rmsd | middle rmsd | cluster members
  1 |   1       | 119050      | 119050
  2 |   2  0.089 | 148550 .089 | 148550 148570
  3 |   1       | 148600      | 148600
  4 |   1       | 148950      | 148950
  5 |   1       | 149020      | 149020
  6 |   1       | 149350      | 149350
  7 |   1       | 149680      | 149680
  8 |   1       | 149740      | 149740
  9 |   1       | 152310      | 152310
 10 |   1       | 152350      | 152350
 11 |   1       | 152600      | 152600
 12 |   1       | 171480      | 171480
 13 |   1       | 171840      | 171840
 14 |   1       | 171870      | 171870
 15 |   1       | 172570      | 172570
 16 |   1       | 172620      | 172620
 17 |   1       | 173580      | 173580
 18 |   2  0.091 | 173700 .091 | 173700 173820
 19 |   1       | 173950      | 173950
 20 |   1       | 174350      | 174350
 21 |   1       | 174670      | 174670
 22 |   1       | 174790      | 174790
 23 |   1       | 174840      | 174840
 24 |   1       | 175150      | 175150
 25 |   1       | 175600      | 175600
 26 |   1       | 175660      | 175660
 27 |   1       | 175780      | 175780
 28 |   2  0.079 | 175850 .079 | 175850 175870
 29 |   1       | 175960      | 175960
