Using linkage method for clustering
Using RMSD cutoff 0.1 nm
The RMSD ranges from 0.0689927 to 0.480323 nm
Average RMSD is 0.217396
Number of structures for matrix 169
Energy of the matrix is 3.03899.

Found 116 clusters

Writing middle structure for each cluster to s_6.5_8.5_z_-0.1_0.1_e5_clustered.pdb

cl. | #st  rmsd | middle rmsd | cluster members
  1 |   1       |  16830      |  16830
  2 |   1       |  17000      |  17000
  3 |   1       |  17050      |  17050
  4 |   1       |  17120      |  17120
  5 |   3  0.096 |  17180 .085 |  17170  17180  17190
  6 |   1       |  17220      |  17220
  7 |   1       |  17250      |  17250
  8 |   1       |  17260      |  17260
  9 |   1       |  89220      |  89220
 10 |   1       |  89300      |  89300
 11 |   1       | 125760      | 125760
 12 |   1       | 125950      | 125950
 13 |   2  0.079 | 125970 .079 | 125970 125990
 14 |   1       | 126680      | 126680
 15 |   2  0.088 | 127870 .088 | 127870 127880
 16 |   2  0.070 | 127940 .070 | 127940 127950
 17 |   1       | 128320      | 128320
 18 |   1       | 128420      | 128420
 19 |   1       | 128520      | 128520
 20 |   1       | 128560      | 128560
 21 |   1       | 128930      | 128930
 22 |   2  0.097 | 128960 .097 | 128960 128970
 23 |   1       | 129890      | 129890
 24 |   1       | 130160      | 130160
 25 |   1       | 130230      | 130230
 26 |   1       | 130500      | 130500
 27 |   1       | 130560      | 130560
 28 |   1       | 130730      | 130730
 29 |   1       | 130970      | 130970
 30 |   1       | 131010      | 131010
 31 |   1       | 131340      | 131340
 32 |   5  0.107 | 131460 .093 | 131390 131420 131460 131470 131500
 33 |   1       | 132030      | 132030
 34 |   1       | 132130      | 132130
 35 |   1       | 132380      | 132380
 36 |   1       | 132450      | 132450
 37 |   1       | 132510      | 132510
 38 |   1       | 132570      | 132570
 39 |   1       | 132770      | 132770
 40 |   1       | 132810      | 132810
 41 |   2  0.094 | 132930 .094 | 132930 134450
 42 |   1       | 133080      | 133080
 43 |   2  0.098 | 133100 .098 | 133100 133120
 44 |   1       | 133200      | 133200
 45 |   1       | 134190      | 134190
 46 |   1       | 134270      | 134270
 47 |   1       | 134360      | 134360
 48 |   1       | 134400      | 134400
 49 |   3  0.080 | 134620 .077 | 134600 134610 134620
 50 |   1       | 134700      | 134700
 51 |   2  0.091 | 134720 .091 | 134720 134730
 52 |   3  0.087 | 134770 .085 | 134770 134780 134790
 53 |   2  0.096 | 134850 .096 | 134850 134870
 54 |   1       | 134900      | 134900
 55 |   1       | 134920      | 134920
 56 |   1       | 135000      | 135000
 57 |   4  0.095 | 135090 .087 | 135060 135070 135090 135200
 58 |   1       | 135120      | 135120
 59 |   1       | 135170      | 135170
 60 |   1       | 135770      | 135770
 61 |   1       | 135920      | 135920
 62 |   1       | 136470      | 136470
 63 |   1       | 136790      | 136790
 64 |   6  0.112 | 136990 .100 | 136860 136900 136970 136980 136990 137030
 65 |   1       | 136950      | 136950
 66 |   9  0.119 | 137440 .104 | 137040 137060 137130 137430 137440 137450 137460
    |           |             | 138190 138220
 67 |   4  0.103 | 137310 .095 | 137270 137300 137310 137330
 68 |   1       | 137380      | 137380
 69 |   1       | 137790      | 137790
 70 |   1       | 137980      | 137980
 71 |   1       | 138010      | 138010
 72 |   1       | 138270      | 138270
 73 |   2  0.081 | 138320 .081 | 138320 138330
 74 |   2  0.086 | 138390 .086 | 138390 138400
 75 |   1       | 138460      | 138460
 76 |   1       | 138500      | 138500
 77 |   1       | 138670      | 138670
 78 |   1       | 138680      | 138680
 79 |   1       | 138930      | 138930
 80 |   1       | 139190      | 139190
 81 |   1       | 139520      | 139520
 82 |   1       | 139650      | 139650
 83 |   1       | 139710      | 139710
 84 |   1       | 140280      | 140280
 85 |   2  0.079 | 140680 .079 | 140680 140690
 86 |   1       | 143610      | 143610
 87 |   1       | 143660      | 143660
 88 |   2  0.079 | 144190 .079 | 144190 144200
 89 |   1       | 144480      | 144480
 90 |   1       | 144660      | 144660
 91 |   1       | 144700      | 144700
 92 |   1       | 144800      | 144800
 93 |   2  0.081 | 145000 .081 | 145000 145010
 94 |   4  0.090 | 145320 .083 | 145240 145290 145310 145320
 95 |   1       | 145600      | 145600
 96 |   1       | 145690      | 145690
 97 |   1       | 145730      | 145730
 98 |   1       | 145850      | 145850
 99 |   1       | 145930      | 145930
100 |   3  0.088 | 146110 .084 | 146100 146110 146280
101 |   1       | 146240      | 146240
102 |   2  0.099 | 146310 .099 | 146310 146520
103 |   1       | 146400      | 146400
104 |   1       | 146480      | 146480
105 |   2  0.092 | 146630 .092 | 146630 146670
106 |   1       | 146700      | 146700
107 |   1       | 146740      | 146740
108 |   1       | 146780      | 146780
109 |   3  0.081 | 147000 .078 | 146980 146990 147000
110 |   1       | 147050      | 147050
111 |   1       | 147090      | 147090
112 |   1       | 147110      | 147110
113 |   2  0.094 | 147150 .094 | 147150 147170
114 |   1       | 147250      | 147250
115 |   1       | 147290      | 147290
116 |   2  0.097 | 147360 .097 | 147360 147380
