Using linkage method for clustering
Using RMSD cutoff 0.1 nm
The RMSD ranges from 0.0649725 to 1.11756 nm
Average RMSD is 0.551399
Number of structures for matrix 331
Energy of the matrix is 5.48285.

Found 141 clusters

Writing middle structure for each cluster to s_9.5_10.5_z_1_1.6_e34_clustered.pdb

cl. | #st  rmsd | middle rmsd | cluster members
  1 |   1       |   2190      |   2190
  2 |   2  0.079 |   2260 .079 |   2260   2270
  3 |   1       |   2310      |   2310
  4 |   3  0.088 |   2460 .082 |   2450   2460   2500
  5 |   1       |   2720      |   2720
  6 |   3  0.104 |   2920 .097 |   2830   2890   2920
  7 |   1       |   3030      |   3030
  8 |   6  0.101 |   3140 .091 |   3130   3140   3180   3200   3220   3540
  9 |   2  0.092 |   3360 .092 |   3360   3390
 10 |   1       |   3470      |   3470
 11 |   1       |   3490      |   3490
 12 |   1       |  20550      |  20550
 13 |   1       |  21110      |  21110
 14 |   7  0.103 |  21390 .095 |  21310  21360  21390  21440  21450  21460  21680
 15 |   3  0.092 |  21800 .083 |  21780  21800  21830
 16 |   8  0.110 |  22040 .103 |  21930  21950  21970  22010  22040  22080  22290
    |           |             |  22300
 17 |   4  0.089 |  22340 .086 |  22260  22270  22330  22340
 18 |   3  0.095 |  22400 .092 |  22380  22400  22420
 19 |   5  0.094 |  22790 .091 |  22720  22750  22760  22790  22820
 20 |   7  0.103 |  23370 .094 |  23210  23240  23260  23310  23340  23370  23380
 21 |   1       |  23440      |  23440
 22 |   1       |  23470      |  23470
 23 |   4  0.100 |  23610 .096 |  23530  23550  23610  23650
 24 |   1       |  23820      |  23820
 25 |  15  0.110 |  25320 .094 |  24020  24040  24230  25020  25070  25090  25100
    |           |             |  25220  25290  25310  25320  25330  25340  25360
    |           |             |  25380
 26 |   2  0.080 |  24150 .080 |  24150  24170
 27 |   4  0.107 |  24390 .098 |  24270  24390  24410  24430
 28 |   2  0.098 |  24480 .098 |  24480  24550
 29 |   1       |  24650      |  24650
 30 |   3  0.089 |  24830 .081 |  24820  24830  24840
 31 |   1       |  25430      |  25430
 32 |   5  0.109 |  25640 .098 |  25580  25590  25640  25670  25700
 33 |   1       |  25740      |  25740
 34 |   1       |  69990      |  69990
 35 |   1       |  70640      |  70640
 36 |   2  0.083 | 387880 .083 | 387880 387890
 37 |   1       | 388120      | 388120
 38 |   1       | 388170      | 388170
 39 |   1       | 388940      | 388940
 40 |   5  0.096 | 389070 .091 | 388980 388990 389010 389060 389070
 41 |   1       | 389290      | 389290
 42 |   2  0.078 | 389340 .078 | 389340 389350
 43 |   3  0.098 | 389840 .088 | 389800 389840 389860
 44 |   3  0.098 | 389980 .096 | 389940 389980 390040
 45 |   2  0.077 | 404310 .077 | 404310 404320
 46 |   2  0.093 | 404350 .093 | 404350 404360
 47 |   1       | 404440      | 404440
 48 |   3  0.097 | 412250 .089 | 411520 412250 412270
 49 |   1       | 411580      | 411580
 50 |   1       | 411630      | 411630
 51 |   1       | 411670      | 411670
 52 |   3  0.108 | 411750 .098 | 411730 411750 411800
 53 |   1       | 411830      | 411830
 54 |   3  0.091 | 411950 .087 | 411910 411940 411950
 55 |   1       | 412040      | 412040
 56 |   1       | 412470      | 412470
 57 |   1       | 413360      | 413360
 58 |   1       | 413480      | 413480
 59 |   2  0.076 | 413550 .076 | 413550 413570
